"","nodes","edges","instance","ants","n_nodes_aco","value_aco","time_aco","n_nodes_bkv","value_bkv","time_bkv","opt"
"1",50,50,1,1,20,1258,0.00637424,19,1256,0.0167093276977539,1
"2",50,50,2,1,19,1240,0.0103833,21,1238,0.0169744491577148,1
"3",50,50,3,1,19,1178,0.00613593,19,1169,0.0142414569854736,1
"4",50,50,4,1,22,1136,0.0125385,22,1136,0.0167534351348877,1
"5",50,50,5,1,20,1081,0.00633354,20,1081,0.0164618492126465,1
"6",50,50,6,1,20,1264,0.00664017,19,1226,0.0170056819915772,1
"7",50,50,7,1,19,1066,0.00658726,18,1045,0.0169174671173096,1
"8",50,50,8,1,21,1134,0.00870635,21,1122,0.0238897800445557,1
"9",50,50,9,1,21,1092,0.0068872,21,1092,0.0136981010437012,1
"10",50,50,10,1,22,1483,0.00675376,21,1448,0.0141537189483643,1
"11",50,100,1,1,30,1869,0.0242288,30,1839,0.0219786167144775,1
"12",50,100,2,1,28,1588,0.0146847,28,1588,0.0221288204193115,1
"13",50,100,3,1,26,1663,0.0176688,27,1643,0.0243473052978516,1
"14",50,100,4,1,28,1821,0.0135691,26,1796,0.0241928100585938,1
"15",50,100,5,1,27,1524,0.0100348,27,1502,0.0253891944885254,1
"16",50,100,6,1,29,1845,0.0134998,28,1806,0.0234742164611816,1
"17",50,100,7,1,26,1498,0.0122582,26,1493,0.0239570140838623,1
"18",50,100,8,1,28,1801,0.0172433,29,1782,0.0234436988830566,1
"19",50,100,9,1,27,1487,0.0170936,28,1469,0.0285401344299316,1
"20",50,100,10,1,29,1787,0.0178165,29,1787,0.023435115814209,1
"21",50,250,1,1,38,2520,0.017124,38,2492,1.61999106407166,1
"22",50,250,2,1,37,2396,0.0199502,36,2360,0.552847146987915,1
"23",50,250,3,1,39,2519,0.0207977,37,2439,0.887090444564819,1
"24",50,250,4,1,37,2029,0.0241828,37,2029,0.0536201000213623,1
"25",50,250,5,1,36,2211,0.0248247,36,2211,0.163581371307373,1
"26",50,250,6,1,36,2358,0.0232151,35,2318,0.246642589569092,1
"27",50,250,7,1,38,2717,0.0164627,37,2671,1.44690418243408,1
"28",50,250,8,1,36,2383,0.0205416,36,2374,0.133353233337402,1
"29",50,250,9,1,36,2364,0.0278007,36,2364,0.10814380645752,1
"30",50,250,10,1,40,2521,0.0156017,38,2419,1.11448431015015,1
"31",50,500,1,1,43,2596,0.0202179,43,2594,2.29246139526367,1
"32",50,500,2,1,44,2964,0.0198239,41,2821,2.09063863754272,1
"33",50,500,3,1,43,3088,0.0198131,42,3080,3.28866815567017,1
"34",50,500,4,1,44,2708,0.0262206,41,2670,2.68853783607483,1
"35",50,500,5,1,42,2669,0.0181111,42,2660,2.90489459037781,1
"36",50,500,6,1,42,2777,0.0182016,42,2777,3.61520504951477,1
"37",50,500,7,1,44,3107,0.0188759,43,3041,3.06270718574524,1
"38",50,500,8,1,42,2489,0.0183712,41,2467,0.249820232391357,1
"39",50,500,9,1,44,2698,0.0197239,42,2576,3.12901329994202,1
"40",50,500,10,1,44,3022,0.0197837,41,2906,3.18835973739624,1
"41",50,750,1,1,44,3097,0.0252952,44,3097,3.84393692016602,1
"42",50,750,2,1,46,2778,0.0242123,44,2702,2.28906035423279,1
"43",50,750,3,1,45,3080,0.0322581,45,3080,3.3571343421936,1
"44",50,750,4,1,46,3313,0.0223672,45,3255,4.58700895309448,1
"45",50,750,5,1,46,2969,0.0224952,45,2879,3.9080069065094,1
"46",50,750,6,1,46,3125,0.0224738,44,3022,4.48521375656128,1
"47",50,750,7,1,46,2872,0.0323971,45,2811,3.12088203430176,1
"48",50,750,8,1,46,2932,0.0286435,44,2882,4.70606374740601,1
"49",50,750,9,1,46,2772,0.0223621,45,2712,3.29991674423218,1
"50",50,750,10,1,46,3391,0.0413616,45,3329,5.45389223098755,1
"51",50,1000,1,1,47,3319,0.0367009,46,3286,1.68393301963806,1
"52",50,1000,2,1,48,3444,0.0264605,46,3342,7.6983757019043,1
"53",50,1000,3,1,47,3382,0.0268205,46,3358,7.53399872779846,1
"54",50,1000,4,1,46,3343,0.0504837,46,3343,1.25111103057861,1
"55",50,1000,5,1,47,3000,0.0256106,46,2996,1.72477102279663,1
"56",50,1000,6,1,47,3146,0.0255408,47,3109,2.23962950706482,1
"57",50,1000,7,1,47,3283,0.0377127,46,3238,1.17574691772461,1
"58",50,1000,8,1,46,2995,0.0266493,46,2995,1.22163510322571,1
"59",50,1000,9,1,47,3102,0.0385598,45,3010,1.04862594604492,1
"60",50,1000,10,1,47,3279,0.0435988,46,3277,7.88970851898193,1
"61",100,100,1,1,44,2661,0.0257349,44,2607,0.0168471336364746,1
"62",100,100,2,1,42,2335,0.0436244,41,2311,0.0129530429840088,1
"63",100,100,3,1,40,2417,0.0204635,39,2311,0.0132992267608643,1
"64",100,100,4,1,41,2323,0.0296147,39,2298,0.0174252986907959,1
"65",100,100,5,1,43,2248,0.0227034,43,2172,0.0166280269622803,1
"66",100,100,6,1,42,2576,0.0493785,42,2530,0.0169789791107178,1
"67",100,100,7,1,40,2122,0.0393952,39,2101,0.0168073177337647,1
"68",100,100,8,1,44,2712,0.0483579,41,2618,0.0188212394714355,1
"69",100,100,9,1,42,2273,0.0195252,41,2224,0.0298895835876465,1
"70",100,100,10,1,42,2428,0.0386382,42,2428,0.0171806812286377,1
"71",100,250,1,1,63,4018,0.0698558,60,3861,1.3459939956665,1
"72",100,250,2,1,61,3890,0.0487257,59,3818,1.32718181610107,1
"73",100,250,3,1,62,3834,0.0499688,56,3659,0.138439893722534,1
"74",100,250,4,1,59,3232,0.0579909,57,3163,0.117088556289673,1
"75",100,250,5,1,60,3576,0.0831184,57,3469,0.102847576141357,1
"76",100,250,6,1,64,3889,0.0351088,60,3794,0.964460849761963,1
"77",100,250,7,1,58,3812,0.051981,58,3712,0.102513313293457,1
"78",100,250,8,1,60,4008,0.0614573,58,3848,1.14235281944275,1
"79",100,250,9,1,61,3991,0.039715,59,3937,0.802478313446045,1
"80",100,250,10,1,58,3525,0.0621581,58,3502,0.084848165512085,1
"81",100,500,1,1,74,4493,0.0824345,70,4286,5.08886861801148,1
"82",100,500,2,1,74,4477,0.044805,72,4400,4.80102634429932,1
"83",100,500,3,1,73,4483,0.0400717,73,4423,3.1723837852478,1
"84",100,500,4,1,74,4761,0.0682869,71,4584,4.13145160675049,1
"85",100,500,5,1,75,4681,0.0865518,71,4534,5.51429295539856,1
"86",100,500,6,1,75,5131,0.222362,70,4865,6.20444250106812,1
