nodes,edges,instance,ants,n_nodes,value,time
10,10,1,1,4,174,0.271181
10,10,2,1,5,159,0.399347
10,10,3,1,4,232,0.219261
10,10,4,1,4,184,0.330551
10,10,5,1,4,308,0.255919
10,10,6,1,4,268,0.280514
10,10,7,1,4,220,0.281311
10,10,8,1,5,372,0.444744
10,10,9,1,5,234,0.605231
10,10,10,1,4,215,0.307443
10,20,1,1,5,271,0.418724
10,20,2,1,7,257,0.523118
10,20,3,1,6,334,0.406099
10,20,4,1,6,311,0.40207
10,20,5,1,6,262,0.439181
10,20,6,1,6,323,0.637223
10,20,7,1,6,403,0.526924
10,20,8,1,6,479,0.874179
10,20,9,1,6,400,0.426106
10,20,10,1,6,388,0.408371
10,30,1,1,8,469,0.539269
10,30,2,1,7,563,0.505965
10,30,3,1,7,537,0.565671
10,30,4,1,8,325,0.657377
10,30,5,1,7,391,0.513098
10,30,6,1,7,386,0.569097
10,30,7,1,8,436,0.666457
10,30,8,1,7,447,0.517001
10,30,9,1,7,418,0.58053
10,30,10,1,7,445,0.513768
10,40,1,1,8,560,0.638101
10,40,2,1,8,496,0.671465
10,40,3,1,8,557,0.695886
10,40,4,1,8,437,0.587084
10,40,5,1,8,449,0.653681
10,40,6,1,8,475,0.558936
10,40,7,1,8,309,0.572499
10,40,8,1,8,579,1.11081
10,40,9,1,8,467,0.552317
10,40,10,1,8,524,0.714402
15,20,1,1,6,464,0.688265
15,20,2,1,8,382,0.702051
15,20,3,1,8,476,1.26541
15,20,4,1,7,467,0.814927
15,20,5,1,7,333,0.780414
15,20,6,1,7,453,0.847384
15,20,7,1,7,406,0.602363
15,20,8,1,8,472,1.00021
15,20,9,1,9,435,0.787638
15,20,10,1,8,587,0.728616
15,40,1,1,9,550,0.914768
15,40,2,1,10,553,1.43634
15,40,3,1,10,626,1.2553
15,40,4,1,10,519,0.939722
15,40,5,1,10,595,0.920884
15,40,6,1,10,666,1.06537
15,40,7,1,10,606,1.06582
15,40,8,1,9,588,0.892082
15,40,9,1,10,669,0.895829
15,40,10,1,10,681,1.04182
15,60,1,1,12,812,1.31878
15,60,2,1,12,673,1.14226
15,60,3,1,12,757,1.20054
15,60,4,1,10,606,1.40291
15,60,5,1,11,737,1.05293
15,60,6,1,11,750,1.11259
15,60,7,1,11,743,1.31358
15,60,8,1,12,780,1.19305
15,60,9,1,12,825,1.56332
15,60,10,1,11,593,1.18849
15,80,1,1,13,705,1.34792
15,80,2,1,13,716,1.45555
15,80,3,1,12,884,1.44207
15,80,4,1,12,776,2.42014
15,80,5,1,13,855,1.36504
15,80,6,1,12,697,1.43212
15,80,7,1,13,892,1.27387
15,80,8,1,12,852,1.70741
15,80,9,1,12,777,1.22781
15,80,10,1,12,750,1.36578
15,100,1,1,13,837,1.4889
15,100,2,1,13,723,1.35782
15,100,3,1,13,805,1.39259
15,100,4,1,13,866,1.53236
15,100,5,1,13,835,2.83819
15,100,6,1,13,983,1.55703
15,100,7,1,14,865,1.52805
15,100,8,1,14,871,1.54291
15,100,9,1,14,877,1.67826
15,100,10,1,13,767,1.39
20,20,1,1,9,430,0.99622
20,20,2,1,9,501,1.83658
20,20,3,1,10,662,1.1299
20,20,4,1,8,557,1.5634
20,20,5,1,9,487,1.03074
20,20,6,1,9,555,1.84284
20,20,7,1,8,410,0.818312
20,20,8,1,8,568,1.02894
20,20,9,1,7,454,0.788814
20,20,10,1,8,521,1.20747
20,40,1,1,12,801,1.3379
20,40,2,1,10,713,1.36219
20,40,3,1,12,839,1.4384
20,40,4,1,11,564,1.41437
20,40,5,1,12,615,1.40595
20,40,6,1,12,775,1.51899
20,40,7,1,11,680,1.37036
20,40,8,1,12,745,1.60888
20,40,9,1,11,725,1.38527
20,40,10,1,12,763,2.04848
20,60,1,1,14,1093,2.52932
20,60,2,1,14,866,1.99932
20,60,3,1,15,785,1.76502
20,60,4,1,13,984,2.44939
20,60,5,1,14,867,1.78108
20,60,6,1,13,732,1.65791
20,60,7,1,14,876,2.43813
20,60,8,1,13,844,1.91386
20,60,9,1,13,901,1.77784
20,60,10,1,14,762,1.80038
20,80,1,1,15,1058,1.86718
20,80,2,1,14,892,1.92681
20,80,3,1,14,939,1.8263
20,80,4,1,15,921,1.88019
