nodes,edges,instance,beta,n_nodes,value,time
50,50,1,0.2,20,1258,51.0086
50,50,1,0.4,20,1258,51.2404
50,50,1,0.6,20,1258,53.1608
50,50,1,0.8,20,1258,54.2379
50,50,1,1,20,1258,50.9953
50,50,1,1.2,20,1258,50.8144
50,50,1,1.4,20,1258,51.0284
50,50,1,1.6,20,1258,52.3328
50,50,1,1.8,20,1258,48.1419
50,50,1,2,20,1258,22.7431
50,50,2,0.2,21,1238,83.5851
50,50,2,0.4,21,1238,82.1214
50,50,2,0.6,21,1238,81.1489
50,50,2,0.8,21,1238,71.7677
50,50,2,1,21,1238,91.3492
50,50,2,1.2,21,1238,59.4894
50,50,2,1.4,21,1238,89.3602
50,50,2,1.6,21,1238,74.7953
50,50,2,1.8,21,1238,87.2524
50,50,2,2,21,1238,39.8237
50,50,3,0.2,19,1178,49.6238
50,50,3,0.4,19,1178,49.5128
50,50,3,0.6,19,1178,49.3887
50,50,3,0.8,19,1178,52.1888
50,50,3,1,19,1178,56.4657
50,50,3,1.2,19,1178,52.8284
50,50,3,1.4,19,1178,54.5128
50,50,3,1.6,19,1178,53.2836
50,50,3,1.8,19,1178,48.0214
50,50,3,2,19,1178,22.1666
50,50,4,0.2,22,1136,63.5522
50,50,4,0.4,22,1136,57.0142
50,50,4,0.6,21,1141,55.6206
50,50,4,0.8,21,1141,56.0599
50,50,4,1,22,1136,55.4811
50,50,4,1.2,21,1141,56.6092
50,50,4,1.4,21,1141,58.0762
50,50,4,1.6,22,1136,57.6949
50,50,4,1.8,21,1141,51.5499
50,50,4,2,21,1141,26.7926
50,50,5,0.2,20,1081,51.6701
50,50,5,0.4,20,1081,50.6392
50,50,5,0.6,20,1081,51.9804
50,50,5,0.8,20,1081,50.9771
50,50,5,1,20,1081,51.1901
50,50,5,1.2,20,1081,57.7768
50,50,5,1.4,20,1081,50.4901
50,50,5,1.6,20,1081,52.8383
50,50,5,1.8,20,1081,48.4646
50,50,5,2,20,1081,22.604
50,50,6,0.2,19,1226,52.506
50,50,6,0.4,19,1235,49.3697
50,50,6,0.6,19,1235,52.6311
50,50,6,0.8,19,1235,54.2582
50,50,6,1,19,1235,49.8775
50,50,6,1.2,19,1235,50.0594
50,50,6,1.4,19,1235,53.8728
50,50,6,1.6,19,1235,54.107
50,50,6,1.8,20,1264,52.3424
50,50,6,2,19,1235,23.7919
50,50,7,0.2,18,1045,47.4022
50,50,7,0.4,18,1045,46.966
