"nodes","edges","avg","time","error","time_diff"
50,50,1187.9,0.03485056,0.558706509777375,0.0181700332666016
50,100,1688.2,0.07983803,1.0595630050883,0.0557493373348999
50,250,2401.5,0.1264231,1.4275457194746,-0.506242724890137
50,500,2796.2,0.10976003,1.34096839663671,-2.54127058199188
50,750,3028.7,0.1206403,1.74006516846383,-3.78447129896851
50,1000,3212.6,0.1701786,0.538273768542274,-3.17657494957581
100,100,2395,0.2498415,1.48305084745763,0.232158446983337
100,250,3727,0.532269,1.37910399042515,-0.0805515299377434
100,500,4541.6,0.5645124,1.5790650861105,-3.99312941613922
100,750,5241.6,0.7587234,1.9191506737444,-11.6760495921341
100,1000,5368.8,0.7902616,1.78205808751043,-13.5002522492584
100,2000,6038.4,0.9133773,1.28484685833137,-49.8234207480194
150,150,3793.8,0.6217511,1.56613926592242,0.588680011209106
150,250,4773.1,0.8422343,1.73281043522742,0.766007994038391
150,500,6155.4,1.4928048,2.54385526513069,-4.69464868453522
150,750,7122.9,1.37133,1.67292347659763,-27.6115673293305
150,1000,7433.7,1.494571,1.55882835127602,-56.7708886090317
150,2000,8475.7,2.147673,1.34517887889803,-218.189524852135
150,3000,8939.9,2.06827,1.22971702920295,-297.061102906685
200,250,5399.9,1.489446,0.925164473684211,1.44197960271454
200,500,7458.8,2.021838,2.54478463505507,-1.93551761847687
200,750,8731.4,2.580936,2.63179547458125,-35.5806303290024
200,1000,9169.6,2.918576,1.92408158728395,-112.242036511635
200,2000,10678.5,4.199258,0.825221176270639,-295.503391021149
200,3000,11606,4.049937,0.35278248538719,-295.25424450425
250,250,6095.9,1.999109,0.870385385468195,1.95408744219208
250,500,8447.8,3.286132,2.28103736348887,1.7295299511261
250,750,10052.7,4.247768,1.76342562129879,-26.0078093496628
250,1000,10913.2,4.92465,1.75762492190924,-233.547722412682
250,2000,12979.1,4.943707,0.273492123581353,-294.858122767227
250,3000,14156.8,6.468039,-0.610094287298956,-292.918119537865
250,5000,15012.2,7.084595,0.192881407967547,-290.752470839767
300,300,7525.3,2.922982,1.49573802330601,2.86877238619995
300,500,9340.8,4.30711,1.39267299864314,4.14338467155457
300,750,11141.7,4.704773,2.1452735223741,-6.41709243941498
300,1000,12253.3,7.46105,2.15765559214639,-181.543427643967
300,2000,14925.5,8.408397,-0.169889438094025,-291.403877312973
300,3000,16379.5,9.907879,-1.22477777911786,-289.534660906502
300,5000,17530.9,8.525615,-1.02526464361326,-289.491446424255
