nodes,edges,instance,n_nodes,value,time,opt
50,50,1,19,1256,0.0167093276977539,1
50,50,2,21,1238,0.0169744491577148,1
50,50,3,19,1169,0.0142414569854736,1
50,50,4,22,1136,0.0167534351348877,1
50,50,5,20,1081,0.0164618492126465,1
50,50,6,19,1226,0.0170056819915772,1
50,50,7,18,1045,0.0169174671173096,1
50,50,8,21,1122,0.0238897800445557,1
50,50,9,21,1092,0.0136981010437012,1
50,50,10,21,1448,0.0141537189483643,1
50,100,1,30,1839,0.0219786167144775,1
50,100,2,28,1588,0.0221288204193115,1
50,100,3,27,1643,0.0243473052978516,1
50,100,4,26,1796,0.0241928100585938,1
50,100,5,27,1502,0.0253891944885254,1
50,100,6,28,1806,0.0234742164611816,1
50,100,7,26,1493,0.0239570140838623,1
50,100,8,29,1782,0.0234436988830566,1
50,100,9,28,1469,0.0285401344299316,1
50,100,10,29,1787,0.023435115814209,1
50,250,1,38,2492,1.61999106407166,1
50,250,2,36,2360,0.552847146987915,1
50,250,3,37,2439,0.887090444564819,1
50,250,4,37,2029,0.0536201000213623,1
50,250,5,36,2211,0.163581371307373,1
50,250,6,35,2318,0.246642589569092,1
50,250,7,37,2671,1.44690418243408,1
50,250,8,36,2374,0.133353233337402,1
50,250,9,36,2364,0.10814380645752,1
50,250,10,38,2419,1.11448431015015,1
50,500,1,43,2594,2.29246139526367,1
50,500,2,41,2821,2.09063863754272,1
50,500,3,42,3080,3.28866815567017,1
50,500,4,41,2670,2.68853783607483,1
50,500,5,42,2660,2.90489459037781,1
50,500,6,42,2777,3.61520504951477,1
50,500,7,43,3041,3.06270718574524,1
50,500,8,41,2467,0.249820232391357,1
50,500,9,42,2576,3.12901329994202,1
50,500,10,41,2906,3.18835973739624,1
50,750,1,44,3097,3.84393692016602,1
50,750,2,44,2702,2.28906035423279,1
50,750,3,45,3080,3.3571343421936,1
50,750,4,45,3255,4.58700895309448,1
50,750,5,45,2879,3.9080069065094,1
50,750,6,44,3022,4.48521375656128,1
50,750,7,45,2811,3.12088203430176,1
50,750,8,44,2882,4.70606374740601,1
50,750,9,45,2712,3.29991674423218,1
50,750,10,45,3329,5.45389223098755,1
50,1000,1,46,3286,1.68393301963806,1
50,1000,2,46,3342,7.6983757019043,1
50,1000,3,46,3358,7.53399872779846,1
50,1000,4,46,3343,1.25111103057861,1
50,1000,5,46,2996,1.72477102279663,1
50,1000,6,47,3109,2.23962950706482,1
50,1000,7,46,3238,1.17574691772461,1
50,1000,8,46,2995,1.22163510322571,1
50,1000,9,45,3010,1.04862594604492,1
50,1000,10,46,3277,7.88970851898193,1
100,100,1,44,2607,0.0168471336364746,1
100,100,2,41,2311,0.0129530429840088,1
100,100,3,39,2311,0.0132992267608643,1
100,100,4,39,2298,0.0174252986907959,1
100,100,5,43,2172,0.0166280269622803,1
100,100,6,42,2530,0.0169789791107178,1
100,100,7,39,2101,0.0168073177337647,1
100,100,8,41,2618,0.0188212394714355,1
100,100,9,41,2224,0.0298895835876465,1
100,100,10,42,2428,0.0171806812286377,1
100,250,1,60,3861,1.3459939956665,1
100,250,2,59,3818,1.32718181610107,1
100,250,3,56,3659,0.138439893722534,1
100,250,4,57,3163,0.117088556289673,1
